#note_time|0.63
#song_time|0000
#song_bpms|0222
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0004|016|000|000
0030|016|000|000
1000|016|000|000
0200|016|000|000
0030|016|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0004|016|000|000
0030|016|000|000
1000|016|000|000
0200|016|000|000
0030|016|000|000################
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1004|008|000|000
0200|008|000|000
0034|008|000|000
0030|008|000|000
1030|008|000|000
0200|008|000|000
1030|008|000|000
0004|008|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0004|016|000|000
0030|016|000|000
1000|016|000|000
0200|016|000|000
0030|016|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000######
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0200|016|000|000
0004|016|000|000
0030|016|000|000
0200|016|000|000
0030|016|000|000##
1000|016|000|000
0200|016|000|000
0030|016|000|000
0004|016|000|000
0030|016|000|000
0004|016|000|000
1000|016|000|000
1004|004|000|000
0204|004|000|000
1030|004|000|000
0230|004|000|000
1200|004|000|000
0204|004|000|000
0230|004|000|000
0204|004|000|000
1004|004|000|000
0204|004|000|000
1030|004|000|000
0230|004|000|000
1200|004|000|000
0204|004|000|000
0230|004|000|000
0204|004|000|000
1004|004|000|000
0204|004|000|000
1030|004|000|000
0230|004|000|000
1200|004|000|000
0204|004|000|000
0230|004|000|000
0204|004|000|000
1004|004|000|000
0204|004|000|000
1030|004|000|000
0230|004|000|000
1200|004|000|000
0204|004|000|000
0230|004|000|000
0204|004|000|000
